email_status,name,website,domain,linkedin_url,industry,founded_year,country,state,city,employee_count,annual_revenue,crunchbase_url,logo_url
,Compass Datacenters,http://www.compassdatacenters.com,compassdatacenters.com,https://www.linkedin.com/company/compass-datacenters,Information Technology & Services,2011,United States,Texas,Dallas,126,,https://www.crunchbase.com/organization/compass-datacenters,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.compassdatacenters.com"
FISNew York,FIS,http://www.fisglobal.com,fisglobal.com,https://www.linkedin.com/company/fis,Information Technology & Services,1968,United States,New York,New York,5001,,https://www.crunchbase.com/organization/fis,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.fisglobal.com"
,Satellogic,http://www.satellogic.com,satellogic.com,https://www.linkedin.com/company/satellogic,Information Services,2010,Uruguay,Departamento de Montevideo,Montevideo,351,,https://www.crunchbase.com/organization/satellogic,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.satellogic.com"
,Dun & Bradstreet,http://www.dnb.com,dnb.com,https://www.linkedin.com/company/dun-&-bradstreet,Information Services,,United States,Illinois,Elmhurst,7501,,https://www.crunchbase.com/organization/dun-and-bradstreet-corporation,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.dnb.com"
,Unisound Marketing & Promotion,http://www.unisound.com,unisound.com,https://www.linkedin.com/company/unisound-marketing-&-promotion,Information Technology & Services,,United States,California,Tarzana,6,,https://www.crunchbase.com/organization/unisound-beijing,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.unisound.com"
,Feedzai,http://www.feedzai.com,feedzai.com,https://www.linkedin.com/company/feedzai,Information Technology & Services,2011,United States,California,San Mateo,751,,https://www.crunchbase.com/organization/feedzai,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.feedzai.com"
,Rapid,http://www.rapidapi.com,rapidapi.com,https://www.linkedin.com/company/rapidapi,Information Technology & Services,2015,Canada,British Columbia,Vancouver,126,,https://www.crunchbase.com/organization/rapidapi,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.rapidapi.com"
,Tintri,http://www.tintri.com,tintri.com,https://www.linkedin.com/company/tintri,Information Technology & Services,2008,United States,California,Santa Clara,351,,https://www.crunchbase.com/organization/tintri,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.tintri.com"
,Sysnet Global Solutions,http://www.vikingcloud.com,vikingcloud.com,https://www.linkedin.com/company/sysnetgs,Information Technology & Services,,United States,Illinois,Chicago,751,,https://www.crunchbase.com/organization/sysnet-global-solutions,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.vikingcloud.com"
,GLG,http://www.glginsights.com,glginsights.com,https://www.linkedin.com/company/glg,Information Services,1998,United States,New York,New York,3001,,https://www.crunchbase.com/organization/gerson-lehrman-group,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.glginsights.com"
,Liqid,http://www.liqid.com,liqid.com,https://www.linkedin.com/company/liqid-inc,Information Technology & Services,2013,United States,Colorado,Westminster,126,,https://www.crunchbase.com/organization/liqid,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.liqid.com"
,Shape Security,http://www.shapesecurity.com,shapesecurity.com,https://www.linkedin.com/company/shape-security,Information Technology & Services,2011,United States,Washington,Seattle,351,,https://www.crunchbase.com/organization/shape-security,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.shapesecurity.com"
,Travelport,http://www.travelport.com,travelport.com,https://www.linkedin.com/company/travelport,Information Technology & Services,1971,United States,Georgia,Atlanta,3001,,https://www.crunchbase.com/organization/travelport,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.travelport.com"
,TRADE X,http://www.tradexport.com,tradexport.com,https://www.linkedin.com/company/trade-x-automotive,Information Technology & Services,2018,Canada,Ontario,Mississauga,1,,https://www.crunchbase.com/organization/trade-x,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.tradexport.com"
,Ionic Security (acquired by Twilio),http://www.ionic.com,ionic.com,https://www.linkedin.com/company/ionic-security,Information Technology & Services,2012,United States,Georgia,Atlanta,351,,https://www.crunchbase.com/organization/ionic-security,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.ionic.com"
,TRM Labs,http://www.trmlabs.com,trmlabs.com,https://www.linkedin.com/company/trmlabs,Information Services,2018,United States,California,San Francisco,351,,https://www.crunchbase.com/organization/trm-labs,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.trmlabs.com"
,GetSwift,http://www.getswift.co,getswift.co,https://www.linkedin.com/company/getswift-co,Information Technology & Services,2013,United States,Colorado,Denver,126,,https://www.crunchbase.com/organization/getswift,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.getswift.co"
,Impinj,http://www.impinj.com,impinj.com,https://www.linkedin.com/company/impinj,Information Technology & Services,2000,United States,Washington,Seattle,351,,https://www.crunchbase.com/organization/impinj,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.impinj.com"
,ConnectureDRX,http://www.connecture.com,connecture.com,https://www.linkedin.com/company/connecture,Information Technology & Services,1999,United States,Wisconsin,Milwaukee,126,,https://www.crunchbase.com/organization/connecture,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.connecture.com"
,Joyent,http://www.joyent.com,joyent.com,https://www.linkedin.com/company/joyent,Information Technology & Services,2004,United States,California,Mountain View,126,,https://www.crunchbase.com/organization/joyent,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.joyent.com"
,TILT Holdings,http://www.tiltholdings.com,tiltholdings.com,https://www.linkedin.com/company/tilt-holdings,Information Technology & Services,2018,United States,Arizona,Phoenix,351,,https://www.crunchbase.com/organization/tilt-holdings,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.tiltholdings.com"
,Virtuo,http://www.govirtuo.com,govirtuo.com,https://www.linkedin.com/company/virtuo-technologies,Information Technology & Services,2015,France,le-de-France,Paris,126,,https://www.crunchbase.com/organization/virtuo,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.govirtuo.com"
,Silent Circle,http://www.silentcircle.com,silentcircle.com,https://www.linkedin.com/company/silent-circle,Information Technology & Services,2012,United States,Maryland,Columbia,126,,https://www.crunchbase.com/organization/silent-circle,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.silentcircle.com"
,Trax Retail,http://www.traxretail.com,traxretail.com,https://www.linkedin.com/company/trax-retail,Information Technology & Services,2010,United States,Massachusetts,Boston,751,,https://www.crunchbase.com/organization/traxretail,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.traxretail.com"
,"InstaMed, a J.P. Morgan company",http://www.jpmorgan.com,jpmorgan.com,https://www.linkedin.com/company/instamed,Information Technology & Services,,United States,California,Palo Alto,1,,https://www.crunchbase.com/organization/instamed,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.jpmorgan.com"
,Seacor Marine Inc,http://www.seacormarine.com,seacormarine.com,https://www.linkedin.com/company/seacor-marine-inc,Information Technology & Services,,United States,Texas,Houston,31,,https://www.crunchbase.com/organization/seacor-marine-holdings,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.seacormarine.com"
,Relationship Science,http://www.altrata.com,altrata.com,https://www.linkedin.com/company/relationship-science,Information Services,,United States,New York,New York,751,,https://www.crunchbase.com/organization/relationship-science,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.altrata.com"
